channel_id,grade_id,channel_name,type_id,uploads,subs,video_views
1,1,Zee Kids,1,234,8.52M,3761481243
2,1,KIM ORO,5,436,5.17M,1038539629
3,1,GR6 EXPLODE,2,3909,36.2M,21824889159
4,1,Topper Guild,5,480,4.31M,5737736039
5,1,Dance India Dance,3,5207,9.33M,4358543265
6,1,T-Series,4,15961,198M,170796252030
7,1,SET India,4,70376,119M,103660524071
8,1,Cocomelon - Nursery Rhymes,4,708,122M,113301645165
9,1,Sony SAB,4,43934,59.9M,66556410299
10,1,We Made Your Day,3,981,4.82M,3115000639
11,2,Car Buddies,2,26,3.87M,1274682573
12,2,TIKTORIKI,4,414,3.57M,7078932008
13,2,ABS-CBN Entertainment,2,167052,37M,44397294809
14,2,Vlad and Niki,3,406,74.6M,55432497955
15,2,Dan Rhodes,4,819,6.95M,6151640203
16,2,Colors TV,5,69048,46.8M,42815486783
17,2,Kids Music Land,1,96,1.34M,960574357
18,2,Zee TV,4,58659,60M,14033111372
19,2,Trending Tech HD,1,41,532K,36130
20,2,Zee Music Company,2,5876,78.9M,42301714018
21,2,Satisfying Mix,5,386,3.28M,3934718584
22,2,✿ Kids Diana Show,1,942,85.4M,64526349047
23,2,Gummy Memes,2,88,1.44M,275765137
24,2,HOME THEATRE,1,558,2.43M,292148526
25,2,AnthonySenpai,1,420,1.73M,2686989883
26,2,JUST CHILL,3,82,385K,855592519
27,2,WWE,1,57815,83.3M,63984424257
28,2,Like Nastya,4,635,79.5M,63816931444
29,2,Voot Kids,2,2486,32.5M,14036983919
30,2,Connor Murphy,2,165,2.38M,453041932
31,2,ZEE5,3,46018,11.6M,12210440379
32,2,Zhong,5,700,5.92M,5038397453
33,2,HAR PAL GEO,5,31739,24.6M,17716804300
34,2,Suyash Vlogs,5,531,2.52M,2692029319
35,2,Трудолюга,3,,2.03M,
36,2,Olivia Rodrigo,5,11,7.96M,1797748543
37,2,Goldmines,1,1939,61.1M,13819647880
38,2,Sony PAL,3,16448,28.4M,19577405174
39,2,व्लाद और निक�…,4,365,22.5M,13498838520
40,2,Herrouchi,2,268,1.64M,1375139624
41,2,Tsuriki Show,1,911,7.1M,11217590269
42,2,D Billions,5,180,13.7M,12497951872
43,2,Alan Chikin Chow,4,261,5.05M,4757599443
44,2,Cam Casey,3,950,2.71M,3442196801
45,2,shfa2 - شفا,5,1139,32.8M,19696267331
46,2,น้องนุช ประท…,5,689,1.5M,388408265
47,2,Nick Murphy,2,25,29.1K,8506025
48,2,Mv Ryhan,5,414,6.93M,5580372122
49,2,HUM TV,5,19324,16.6M,10767618379
50,3,Movieclips,4,38177,55.1M,54965865518
51,3,Super JoJo - Nursery Rhymes,1,264,23M,4388629933
52,3,Ariel Camacho y Los Plebes Del Ran…,1,,167K,
53,3,Infobells - Hindi,4,433,39.6M,21601863217
54,3,Pinkfong Baby Shark - Kids,3,2033,53.4M,27070390125
55,3,Bristi Home Kitchen,4,594,1.44M,351049020
56,3,Sonn1c Relaxing,2,437,759K,995894972
57,3,Toys and Colors,2,690,32.8M,33247768201
58,3,VENDY YADUWANSHI,4,516,2.84M,2668289203
59,3,Shemaroo Bengali,2,2650,2M,482992078
60,3,imkavy,4,969,2.61M,3903305096
61,3,Dp guru {Durga Prasad patel},4,387,595K,373590
62,3,Sithaara,2,6351,1.01M,390541053
63,3,Austin Sprinz,1,1024,2.6M,3243222968
64,3,ZingTV,4,8829,2.82M,621848601
65,3,GhostRobo,1,7960,1.81M,770124237
66,3,Vlad và Nikita,4,344,17.7M,11098686189
67,3,XiaoLin cartoon,4,864,1.55M,2351473562
68,3,Jake Fellman,2,221,8.93M,7012777454
69,3,ChuChu TV Nursery Rhymes & Kids So…,1,442,52.6M,34834542468
70,3,GMD GAMES,5,1241,57K,1532018726
71,3,웃웃TwinsFromRussia,4,1089,6.8M,4989995632
72,3,LooLoo Kids - Nursery Rhymes and C…,1,485,46.5M,25793144757
73,3,Klem Family,2,543,2.67M,3390042090
74,3,Candy K2S,1,3435,508K,267671384
75,3,SSSniperWolf,2,2841,30.1M,16381304965
76,3,Bugworkout Sport in Russia,5,475,2.02M,2651750780
77,3,MiсroStrategy,4,,740K,283639761
78,3,Daria Smith,3,13,337K,269587533
79,3,GirlsAndBoysToys,4,27,947K,261993904
80,3,A4,3,497,35.8M,11442205335
81,3,The One Shu,4,422,2.36M,2662245789
82,3,netd müzik,5,17592,21.3M,46381458775
83,3,Tips Official,4,3188,47.2M,23641495553
84,3,Ash Magic,2,643,1.51M,1409283126
85,3,El Reino Infantil,4,1114,46.2M,43726739416
86,3,Eat My Youtube Shorts,4,1360,646K,1033625968
87,3,PowerKids,4,1669,23.1M,11415165929
88,3,DONA Việt Nam,3,144,809,1962192020
89,3,Super Simple Songs - Kids Songs,3,573,32.1M,32053636655
90,3,LittleGlove,5,608,3.45M,3811901426
91,3,Dhar Mann,5,482,13.5M,6090413581
92,3,ImaginaTion,4,7,568K,3707
93,3,Miracle Music,2,231,798K,234533306
94,3,Little Angel: Nursery Rhymes & Kid…,1,1103,25.9M,18979681875
95,3,King Jafi rock,3,290,873K,1203840371
96,3,HouseOfCrypto,4,173,467K,7672242
97,3,MBC DRAMA,4,5670,1.91M,1867318065
98,3,Alechka Bragina,3,381,1.76M,1109359062
99,3,Heidi & Zidane बच्चों …,3,334,15.3M,10645785472
100,3,Connor Murphy Raw,2,128,1.35M,225049562
